Assigned ID	Source	serial number	media type	component	additional component	without	pH	strain type	strain info	Phase	Cultivation	Growth Rate	OD	bioreactor	passed_global_correlation	condition	project	reference_condition
GSM5197020_1	1	GSM5197020	CGXII	glucose				wild type	WT	stationary			30.0	FALSE	TRUE	Condition526	P1	Condition195
GSM5197020_2	2	GSM5197020	CGXII	glucose				wild type	WT	stationary			4.0	FALSE	TRUE	Condition126	P1	Condition195
GSM5197021_1	1	GSM5197021	CGXII	glucose				wild type	WT	stationary			30.0	FALSE	TRUE	Condition526	P1	Condition195
GSM5197021_2	2	GSM5197021	CGXII	glucose				wild type	WT	stationary			4.0	FALSE	TRUE	Condition126	P1	Condition195
GSM5197022_1	1	GSM5197022	CGXII	glucose				wild type	WT	stationary			30.0	FALSE	TRUE	Condition526	P1	Condition195
GSM5197022_2	2	GSM5197022	CGXII	glucose				wild type	WT	stationary			4.0	FALSE	TRUE	Condition126	P1	Condition195
GSM5197023_1	1	GSM5197023	CGXII	glucose				wild type	WT	stationary			30.0	FALSE	TRUE	Condition526	P1	Condition195
GSM5197023_2	2	GSM5197023	CGXII	glucose				wild type	WT	stationary			4.0	FALSE	TRUE	Condition126	P1	Condition195
GSM5197024_1	1	GSM5197024	CGXII	glucose				wild type	WT	stationary			75.0	FALSE	FALSE	Condition454	P1	Condition195
GSM5197024_2	2	GSM5197024	CGXII	glucose				wild type	WT	stationary			5.0	FALSE	TRUE	Condition527	P1	Condition195
GSM5197025_1	1	GSM5197025	CGXII	glucose				wild type	WT	stationary			75.0	FALSE	TRUE	Condition454	P1	Condition195
GSM5197025_2	2	GSM5197025	CGXII	glucose				wild type	WT	stationary			5.0	FALSE	TRUE	Condition527	P1	Condition195
GSM5197026_1	1	GSM5197026	CGXII	glucose				wild type	WT	stationary			75.0	FALSE	TRUE	Condition454	P1	Condition195
GSM5197026_2	2	GSM5197026	CGXII	glucose				wild type	WT	stationary			5.0	FALSE	TRUE	Condition527	P1	Condition195
GSM5197027_1	1	GSM5197027	CGXII	glucose				wild type	WT	exponential		0.4		FALSE	TRUE	Condition195	P1	Condition195
GSM5197027_2	2	GSM5197027	CGXII	glucose				wild type	WT	exponential		0.6		FALSE	TRUE	Condition469	P1	Condition195
GSM5197028_1	1	GSM5197028	CGXII	glucose				wild type	WT	exponential		0.4		FALSE	TRUE	Condition195	P1	Condition195
GSM5197028_2	2	GSM5197028	CGXII	glucose				wild type	WT	exponential		0.4		FALSE	TRUE	Condition469	P1	Condition195
GSM5197029_1	1	GSM5197029	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 10 min			FALSE	FALSE	Condition82	P1	Condition195
GSM5197029_2	2	GSM5197029	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 10 min			FALSE	TRUE	Condition272	P1	Condition195
GSM5197030_1	1	GSM5197030	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 10 min			FALSE	TRUE	Condition82	P1	Condition195
GSM5197030_2	2	GSM5197030	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 10 min			FALSE	TRUE	Condition272	P1	Condition195
GSM5197031_1	1	GSM5197031	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 10 min			FALSE	TRUE	Condition82	P1	Condition195
GSM5197031_2	2	GSM5197031	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 10 min			FALSE	TRUE	Condition272	P1	Condition195
GSM5197032_1	1	GSM5197032	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 10 min			FALSE	FALSE	Condition82	P1	Condition195
GSM5197032_2	2	GSM5197032	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 10 min			FALSE	FALSE	Condition272	P1	Condition195
GSM5197033_1	1	GSM5197033	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 10 min			FALSE	TRUE	Condition337	P1	Condition195
GSM5197033_2	2	GSM5197033	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT	exponential	after anaerobic cultivation for 10 min			FALSE	TRUE	Condition457	P1	Condition195
GSM5197034_1	1	GSM5197034	CGXII	glucose	15 g/l tryptone	MOPS		wild type	WT		after anaerobic cultivation for 10 min			FALSE	TRUE	Condition337	P1	Condition195
