,imodulon,annotation,pvalue,qvalue,precision,recall,f1score,TP,target_set_size,imodulon_size,pathway_name,source,module_name
0,4,map00920,1.1107885973052633e-10,2.5214901158829473e-08,0.7142857142857143,0.2631578947368421,0.3846153846153846,5.0,19.0,7.0,Sulfur metabolism,KEGG pathways,
1,5,map02024,1.6208049413217565e-05,0.003679227216800387,0.23809523809523808,0.1,0.1408450704225352,5.0,50.0,21.0,Quorum sensing,KEGG pathways,
2,14,map00190,4.170788199234489e-09,9.46768921226229e-07,1.0,0.15384615384615385,0.2666666666666667,4.0,26.0,4.0,Oxidative phosphorylation,KEGG pathways,
3,19,map00906,0.0004046111687122432,0.0918467352976792,0.1,0.4,0.16000000000000003,2.0,5.0,20.0,Carotenoid biosynthesis,KEGG pathways,
4,24,map01230,1.601619012014393e-05,0.0036356751572726716,0.30434782608695654,0.059322033898305086,0.09929078014184396,7.0,118.0,23.0,Biosynthesis of amino acids,KEGG pathways,
5,24,map00910,0.00019746497459750598,0.022412274616816927,0.13043478260869565,0.1875,0.15384615384615383,3.0,16.0,23.0,Nitrogen metabolism,KEGG pathways,
6,24,map00250,0.000976922439256744,0.07392046457042695,0.13043478260869565,0.1111111111111111,0.12,3.0,27.0,23.0,"Alanine, aspartate and glutamate metabolism",KEGG pathways,
7,25,map00220,6.904046592353279e-07,0.00015672185764641942,0.75,0.16666666666666666,0.27272727272727276,3.0,18.0,4.0,Arginine biosynthesis,KEGG pathways,
8,25,map01230,0.00022024852789895923,0.02499820791653187,0.75,0.025423728813559324,0.04918032786885246,3.0,118.0,4.0,Biosynthesis of amino acids,KEGG pathways,
9,25,map01130,0.0009995482692952112,0.0756324857100043,0.75,0.015306122448979591,0.03,3.0,196.0,4.0,,KEGG pathways,
10,29,map00362,4.551427145762947e-09,1.033173962088189e-06,0.5555555555555556,0.18518518518518517,0.2777777777777778,5.0,27.0,9.0,Benzoate degradation,KEGG pathways,
11,29,map00072,1.783367657845327e-08,2.024122291654446e-06,0.3333333333333333,1.0,0.5,3.0,3.0,9.0,,KEGG pathways,
12,29,map01220,6.973113274562784e-07,5.2763223777525064e-05,0.4444444444444444,0.14285714285714285,0.21621621621621623,4.0,28.0,9.0,Degradation of aromatic compounds,KEGG pathways,
13,29,map00650,9.796437755695815e-06,0.0005559478426357374,0.3333333333333333,0.1875,0.24000000000000005,3.0,16.0,9.0,Butanoate metabolism,KEGG pathways,
14,29,map00280,1.4232541806670487e-05,0.0006461573980228401,0.3333333333333333,0.16666666666666666,0.2222222222222222,3.0,18.0,9.0,"Valine, leucine and isoleucine degradation",KEGG pathways,
15,29,map01120,8.95170904952303e-05,0.003386729923736213,0.5555555555555556,0.026455026455026454,0.0505050505050505,5.0,189.0,9.0,Microbial metabolism in diverse environments,KEGG pathways,
16,30,map00750,4.52529543176574e-06,0.001027242063010823,1.0,0.2857142857142857,0.4444444444444445,2.0,7.0,2.0,Vitamin B6 metabolism,KEGG pathways,
17,31,map02010,9.509808051332551e-12,2.1587264276524888e-09,0.55,0.10091743119266056,0.17054263565891473,11.0,109.0,20.0,ABC transporters,KEGG pathways,
18,34,map02020,1.7910106620945734e-06,0.0004065594202954681,1.0,0.07894736842105263,0.14634146341463414,3.0,38.0,3.0,Two-component system,KEGG pathways,
19,34,map00910,7.733871076153381e-05,0.008777943671434087,0.6666666666666666,0.125,0.21052631578947367,2.0,16.0,3.0,Nitrogen metabolism,KEGG pathways,
20,37,map00640,8.145531777162103e-05,0.018490357134157972,1.0,0.07142857142857142,0.13333333333333333,2.0,28.0,2.0,Propanoate metabolism,KEGG pathways,
21,41,map04112,3.548583180599382e-05,0.004027641909980298,0.6666666666666666,0.18181818181818182,0.28571428571428575,2.0,11.0,3.0,Cell cycle - Caulobacter,KEGG pathways,
22,41,map04212,1.807740349161452e-05,0.004027641909980298,0.6666666666666666,0.25,0.36363636363636365,2.0,8.0,3.0,Longevity regulating pathway - worm,KEGG pathways,
23,53,map02010,4.45701792716264e-05,0.010117430694659191,1.0,0.027522935779816515,0.05357142857142857,3.0,109.0,3.0,ABC transporters,KEGG pathways,
24,57,map00650,2.5858831038647022e-05,0.005869954645772874,1.0,0.125,0.2222222222222222,2.0,16.0,2.0,Butanoate metabolism,KEGG pathways,
25,57,map00250,7.56370807880657e-05,0.008584808669445457,1.0,0.07407407407407407,0.13793103448275862,2.0,27.0,2.0,"Alanine, aspartate and glutamate metabolism",KEGG pathways,
26,61,map03010,0.0002969455764280788,0.06740664584917387,1.0,0.03773584905660377,0.07272727272727272,2.0,53.0,2.0,Ribosome,KEGG pathways,
27,65,map00562,2.9306675177162098e-05,0.006652615265215795,1.0,0.11764705882352941,0.21052631578947367,2.0,17.0,2.0,Inositol phosphate metabolism,KEGG pathways,
28,66,map00010,0.0003601292310163649,0.08174933544071482,0.6666666666666666,0.058823529411764705,0.10810810810810811,2.0,34.0,3.0,Glycolysis / Gluconeogenesis,KEGG pathways,
29,68,map00920,5.3853595023323155e-09,1.2224766070294356e-06,0.8,0.21052631578947367,0.3333333333333333,4.0,19.0,5.0,Sulfur metabolism,KEGG pathways,
30,68,map00261,7.722034663022106e-05,0.005843006228353394,0.4,0.2222222222222222,0.2857142857142857,2.0,9.0,5.0,Monobactam biosynthesis,KEGG pathways,
31,68,map01120,6.833709702715024e-05,0.005843006228353394,0.8,0.021164021164021163,0.041237113402061855,4.0,189.0,5.0,Microbial metabolism in diverse environments,KEGG pathways,
32,68,map00450,0.00016687100302645443,0.009469929421751289,0.4,0.15384615384615385,0.2222222222222222,2.0,13.0,5.0,Selenocompound metabolism,KEGG pathways,
33,73,map00240,3.012617507708381e-06,0.0006838641742498025,1.0,0.06666666666666667,0.125,3.0,45.0,3.0,Pyrimidine metabolism,KEGG pathways,
34,73,map00250,0.00022566925417348685,0.025613460348690754,0.6666666666666666,0.07407407407407407,0.13333333333333333,2.0,27.0,3.0,"Alanine, aspartate and glutamate metabolism",KEGG pathways,
35,74,map02024,4.161191201623246e-06,0.0009445904027684767,1.0,0.06,0.11320754716981131,3.0,50.0,3.0,Quorum sensing,KEGG pathways,
36,74,map01501,1.807740349161452e-05,0.0020517852962982476,0.6666666666666666,0.25,0.36363636363636365,2.0,8.0,3.0,beta-Lactam resistance,KEGG pathways,
37,81,map00190,2.9057502217165292e-06,0.0006596053003296521,0.0875,0.2692307692307692,0.1320754716981132,7.0,26.0,80.0,Oxidative phosphorylation,KEGG pathways,
38,83,map03010,5.836442339477783e-38,1.3248724110614568e-35,0.7931034482758621,0.4339622641509434,0.5609756097560975,23.0,53.0,29.0,Ribosome,KEGG pathways,
39,84,map00051,2.2626477158811723e-05,0.005136210315050261,1.0,0.13333333333333333,0.23529411764705882,2.0,15.0,2.0,Fructose and mannose metabolism,KEGG pathways,
40,87,map00760,0.00013519412986123813,0.03068906747850105,0.6666666666666666,0.09523809523809523,0.16666666666666666,2.0,21.0,3.0,Nicotinate and nicotinamide metabolism,KEGG pathways,
41,90,map00730,1.7196325654141088e-06,0.00039035659234900265,0.6,0.16666666666666666,0.2608695652173913,3.0,18.0,5.0,Thiamine metabolism,KEGG pathways,
42,100,map00966,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,Glucosinolate biosynthesis,KEGG pathways,
