,single_gene,imodulon_size,explained_variance
SG_1,True,1.0,0.01196502389752574
1,,877.0,0.03552460741315133
2,,27.0,0.0005660775150349018
3,,17.0,0.0011075222570433585
4,,7.0,0.0014384743719234594
5,,21.0,0.003957648354947496
SG_2,True,3.0,0.01806582348334651
SG_3,True,1.0,0.0015333403802350043
8,,3.0,0.001511551565837932
9,,3.0,0.007075562775863631
10,,5.0,0.001362060607643878
11,,3.0,0.036591869169990465
12,,3.0,0.002442395593166169
13,,2.0,0.00408560437972294
14,,4.0,0.018148020051330205
SG_4,True,1.0,0.006799927196096567
16,,2.0,0.019063509488062458
SG_5,True,1.0,0.014455721839306546
SG_6,True,1.0,0.0168153496941732
19,,20.0,0.002456903360249063
SG_7,True,1.0,0.002209945358599419
SG_8,True,1.0,0.0012581243639160355
SG_9,True,1.0,0.009917617311969273
23,,3.0,0.006084602869332545
24,,23.0,0.0014545212947296715
25,,4.0,0.001018042410365294
26,,2.0,0.0029274918972902464
27,,35.0,0.002276672820353487
SG_10,True,1.0,0.003880309283588179
29,,9.0,0.0010015000096978977
30,,2.0,0.004600828206075769
31,,20.0,0.005552385868968446
SG_11,True,1.0,0.004321146488779903
SG_12,True,1.0,0.0014958735130047307
34,,3.0,0.0197081386525243
35,,3.0,0.003218955765361353
36,,5.0,0.0059369288634169015
37,,2.0,0.0016562142007995329
38,,3.0,0.004037001456590361
39,,10.0,0.0027225477783019425
SG_13,True,1.0,0.008247296637832968
41,,3.0,0.007661938277896629
SG_14,True,1.0,0.0135846809390473
SG_15,True,1.0,0.007451437001977479
44,,6.0,0.003347213051008824
45,,3.0,0.0029044824273434244
SG_16,True,1.0,0.013244860221181431
SG_17,True,1.0,0.0014808647098891736
48,,2.0,0.00858191930129193
SG_18,True,1.0,0.007873968345333493
50,,2.0,0.009010964416783951
51,,2.0,0.003568443525180487
52,,3.0,0.0009086159966825713
53,,3.0,0.0064335328947134895
54,,167.0,0.00806573460891491
55,,3.0,0.001047987949740703
SG_19,True,1.0,0.009564785137405774
57,,2.0,0.0007918232133351522
SG_20,True,1.0,0.008518491885783686
SG_21,True,1.0,0.02993411885480113
SG_22,True,1.0,0.007456838511769148
SG_23,True,2.0,0.01712452342171411
SG_24,True,1.0,0.0028855070142521644
SG_25,True,1.0,0.009593305350789727
64,,2.0,0.0014333536545145797
65,,2.0,0.0008956425213161312
SG_26,True,3.0,0.002718280115904359
SG_27,True,1.0,0.004775665939270923
68,,5.0,0.024178151288856253
SG_28,True,1.0,0.021383235979988036
70,,3.0,0.004772420746234629
SG_29,True,1.0,0.009041131848625983
SG_30,True,1.0,0.014322037036351154
73,,3.0,0.007821801535892181
74,,3.0,0.0033405988433271583
SG_31,True,1.0,0.007995249066977794
SG_32,True,1.0,0.006359701876923252
77,,4.0,0.0015708015348167015
SG_33,True,1.0,0.0013751153926625515
SG_34,True,1.0,0.007680048671694806
80,,26.0,0.005001773891879724
81,,80.0,0.002662913328614236
SG_35,True,1.0,0.0072030066329401565
83,,29.0,0.022648098753053292
84,,2.0,0.007530264827955713
85,,6.0,0.005884345716928641
86,,2.0,0.006689254756003793
87,,3.0,0.003986043057531474
SG_36,True,1.0,0.013926624877464766
SG_37,True,1.0,0.009248647705578539
90,,5.0,0.01878883067810222
SG_38,True,1.0,0.006017339886956852
SG_39,True,1.0,0.010771307851571432
SG_40,True,1.0,0.0052517027517857695
94,,2.0,0.001248244039234514
95,,15.0,0.008138429411631787
SG_41,True,1.0,0.004218225843622747
SG_42,True,1.0,0.0121631506745008
SG_43,True,1.0,0.003921411247595485
99,,2.0,0.005860290048060324
SG_44,True,1.0,0.008528938083588233
101,,11.0,0.002273518973665678
102,,73.0,0.029427702181037185
