,gene_id,database,kegg_id
3,cg0006,KEGG_orth,-
5,cg0008,KEGG_orth,-
7,cg0010,KEGG_orth,-
8,cg0012,KEGG_orth,-
9,cg0013,KEGG_orth,-
10,cg0014,KEGG_orth,-
12,cg0016,KEGG_orth,-
13,cg0018,KEGG_orth,-
14,cg0019,KEGG_orth,-
15,cg0025,KEGG_orth,-
16,cg0026,KEGG_orth,-
17,cg0027,KEGG_orth,-
18,cg0029,KEGG_orth,-
22,cg0037,KEGG_orth,-
23,cg0038,KEGG_orth,-
25,cg0040,KEGG_orth,-
33,cg0047,KEGG_orth,-
37,cg0051,KEGG_orth,-
40,cg0054,KEGG_orth,-
41,cg0055,KEGG_orth,-
49,cg0063,KEGG_orth,-
50,cg0064,KEGG_orth,-
51,cg0065,KEGG_orth,-
52,cg0066,KEGG_orth,-
58,cg0073,KEGG_orth,-
59,cg0074,KEGG_orth,-
60,cg0075,KEGG_orth,-
61,cg0076,KEGG_orth,-
62,cg0077,KEGG_orth,-
63,cg0078,KEGG_orth,-
64,cg0079,KEGG_orth,-
66,cg0081,KEGG_orth,-
73,cg0091,KEGG_orth,-
74,cg0092,KEGG_orth,-
76,cg0096,KEGG_orth,-
77,cg0097,KEGG_orth,-
81,cg0107,KEGG_orth,-
82,cg0108,KEGG_orth,-
85,cg0111,KEGG_orth,-
86,cg0112,KEGG_orth,-
97,cg0120,KEGG_orth,-
98,cg0121,KEGG_orth,-
99,cg0122,KEGG_orth,-
104,cg0128,KEGG_orth,-
106,cg0131,KEGG_orth,-
108,cg0134,KEGG_orth,-
110,cg0136,KEGG_orth,-
111,cg0139,KEGG_orth,-
112,cg0141,KEGG_orth,-
115,cg0144,KEGG_orth,-
116,cg0146,KEGG_orth,-
120,cg0150,KEGG_orth,-
122,cg0152,KEGG_orth,-
126,cg0156,KEGG_orth,-
127,cg0158,KEGG_orth,-
128,cg0159,KEGG_orth,-
129,cg0160,KEGG_orth,-
130,cg0161,KEGG_orth,-
131,cg0162,KEGG_orth,-
132,cg0163,KEGG_orth,-
133,cg0165,KEGG_orth,-
134,cg0166,KEGG_orth,-
138,cg0170,KEGG_orth,-
139,cg0171,KEGG_orth,-
141,cg0173,KEGG_orth,-
143,cg0175,KEGG_orth,-
146,cg0177,KEGG_orth,-
151,cg0183,KEGG_orth,-
154,cg0186,KEGG_orth,-
155,cg0187,KEGG_orth,-
156,cg0188,KEGG_orth,-
157,cg0191,KEGG_orth,-
158,cg0192,KEGG_orth,-
162,cg0194,KEGG_orth,-
163,cg0195,KEGG_orth,-
166,cg0198,KEGG_orth,-
175,cg0207,KEGG_orth,-
176,cg0208,KEGG_orth,-
177,cg0209,KEGG_orth,-
178,cg0210,KEGG_orth,-
179,cg0211,KEGG_orth,-
180,cg0212,KEGG_orth,-
182,cg0216,KEGG_orth,-
183,cg0217,KEGG_orth,-
184,cg0218,KEGG_orth,-
185,cg0219,KEGG_orth,-
186,cg0220,KEGG_orth,-
188,cg0223,KEGG_orth,-
189,cg0226,KEGG_orth,-
190,cg0228,KEGG_orth,-
194,cg0233,KEGG_orth,-
199,cg0239,KEGG_orth,-
200,cg0240,KEGG_orth,-
201,cg0241,KEGG_orth,-
202,cg0242,KEGG_orth,-
203,cg0243,KEGG_orth,-
204,cg0244,KEGG_orth,-
205,cg0245,KEGG_orth,-
207,cg0247,KEGG_orth,-
