Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
G18NG-10507	Cgl0937	993549	994616	G18NG-10507-MONOMER
G18NG-9684	Cgl0135	147570	147980	G18NG-9684-MONOMER
G18NG-12206	Cgl2590	2752993	2753238	G18NG-12206-MONOMER
G18NG-10659	Cgl1087	1135055	1136833	G18NG-10659-MONOMER
G18NG-11180	Cgl1595	1690357	1691625	G18NG-11180-MONOMER
G18NG-10487	Cgl0917	970864	971826	G18NG-10487-MONOMER
G18NG-9663	Cgl0114	127189	128004	G18NG-9663-MONOMER
G18NG-12186	Cgl2570	2731377	2732522	G18NG-12186-MONOMER
G18NG-10643	Cgl1071	1120205	1120807	G18NG-10643-MONOMER
G18NG-11162	Cgl1577	1669419	1670378	G18NG-11162-MONOMER
G18NG-10469	Cgl0899	954277	954756	G18NG-10469-MONOMER
G18NG-9644	Cgl0095	103494	104912	G18NG-9644-MONOMER
G18NG-12154	Cgl2549	2695813	2697216	G18NG-12154-MONOMER
G18NG-12679	Cgl3058	3258559	3260085	G18NG-12679-MONOMER
G18NG-10620	Cgl1048	1097750	1098595	G18NG-10620-MONOMER
G18NG-11145	Cgl1560	1647648	1648097	G18NG-11145-MONOMER
G18NG-10451	Cgl0881	933730	934302	G18NG-10451-MONOMER
G18NG-9624	Cgl0075	82117	83568	G18NG-9624-MONOMER
G18NG-12130	Cgl2526	2674805	2675293	G18NG-12130-MONOMER
G18NG-12654	Cgl3033	3236642	3238066	G18NG-12654-MONOMER
G18NG-10589	Cgl1017	1068649	1069848	G18NG-10589-MONOMER
G18NG-11113	Cgl1528	1611147	1612238	G18NG-11113-MONOMER
G18NG-10427	Cgl0857	916365	916874	G18NG-10427-MONOMER
G18NG-9590	Cgl0045	46666	48021	G18NG-9590-MONOMER
G18NG-12100	Cgl2497	2649551	2650168	G18NG-12100-MONOMER
G18NG-12630	Cgl3009	3211244	3211837	G18NG-12630-MONOMER
G18NG-10563	Cgl0991	1047827	1048504	G18NG-10563-MONOMER
G18NG-11087	Cgl1504	1585600	1586445	G18NG-11087-MONOMER
G18NG-10402	Cgl0833	881995	883650	G18NG-10402-MONOMER
G18NG-9573	Cgl0028	29114	29965	G18NG-9573-MONOMER
G18NG-12072	Cgl2471	2617247	2617999	G18NG-12072-MONOMER
G18NG-12609	Cgl2988	3189878	3190351	G18NG-12609-MONOMER
G18NG-10536	Cgl0965	1024663	1026396	G18NG-10536-MONOMER
G18NG-11062	Cgl1479	1557856	1559493	G18NG-11062-MONOMER
G18NG-10374	Cgl0809	850409	850999	G18NG-10374-MONOMER
G18NG-9543	Cgl0003	2292	3476	G18NG-9543-MONOMER
G18NG-12048	Cgl2449	2592839	2593969	G18NG-12048-MONOMER
G18NG-12589	Cgl2968	3171255	3171620	G18NG-12589-MONOMER
G18NG-11040	Cgl1457	1534526	1535401	G18NG-11040-MONOMER
G18NG-10343	Cgl0780	822079	822672	G18NG-10343-MONOMER
G18NG-12705	Cgl3084	3290023	3290592	G18NG-12705-MONOMER
G18NG-12026	Cgl2427	2569212	2570297	G18NG-12026-MONOMER
G18NG-12562	Cgl2944	3143494	3144483	G18NG-12562-MONOMER
G18NG-11022	Cgl1439	1515796	1516962	G18NG-11022-MONOMER
G18NG-10316	Cgl0754	790732	791412	G18NG-10316-MONOMER
G18NG-11998	Cgl2401	2542816	2543937	G18NG-11998-MONOMER
G18NG-11651	Cgl2059	2169663	2171741	G18NG-11651-MONOMER
G18NG-12536	Cgl2918	3119666	3120883	G18NG-12536-MONOMER
G18NG-11002	Cgl1420	1496792	1498324	G18NG-11002-MONOMER
G18NG-10289	Cgl0727	745619	746893	G18NG-10289-MONOMER
G18NG-11979	Cgl2382	2524338	2524916	G18NG-11979-MONOMER
G18NG-11632	Cgl2040	2152135	2152332	G18NG-11632-MONOMER
G18NG-9991	Cgl0434	457357	459903	G18NG-9991-MONOMER
G18NG-12511	Cgl2893	3094076	3095344	G18NG-12511-MONOMER
G18NG-10975	Cgl1396	1466491	1467375	G18NG-10975-MONOMER
G18NG-10269	Cgl0707	726739	728352	G18NG-10269-MONOMER
G18NG-11962	Cgl2365	2508095	2508844	G18NG-11962-MONOMER
G18NG-11614	Cgl2022	2136232	2137089	G18NG-11614-MONOMER
G18NG-9967	Cgl0410	434886	435698	G18NG-9967-MONOMER
G18NG-12488	Cgl2870	3061378	3062928	G18NG-12488-MONOMER
G18NG-10955	Cgl1376	1442487	1445336	G18NG-10955-MONOMER
G18NG-10247	Cgl0685	699998	700384	G18NG-10247-MONOMER
G18NG-11943	Cgl2346	2486908	2487885	G18NG-11943-MONOMER
G18NG-11597	Cgl2005	2119139	2119498	G18NG-11597-MONOMER
G18NG-9943	Cgl0386	407708	409975	G18NG-9943-MONOMER
G18NG-12465	Cgl2848	3036843	3037412	G18NG-12465-MONOMER
G18NG-10933	Cgl1354	1416459	1417883	G18NG-10933-MONOMER
G18NG-10229	Cgl0667	681843	682904	G18NG-10229-MONOMER
G18NG-11921	Cgl2324	2462600	2463151	G18NG-11921-MONOMER
G18NG-11577	Cgl1985	2093709	2096723	G18NG-11577-MONOMER
G18NG-9923	Cgl0366	387692	389101	G18NG-9923-MONOMER
G18NG-12447	Cgl2830	3017317	3019224	G18NG-12447-MONOMER
G18NG-10899	Cgl1321	1385153	1386235	G18NG-10899-MONOMER
G18NG-10208	Cgl0646	659543	660541	G18NG-10208-MONOMER
G18NG-11902	Cgl2305	2441003	2441590	G18NG-11902-MONOMER
G18NG-11556	Cgl1964	2070516	2071121	G18NG-11556-MONOMER
G18NG-9901	Cgl0344	363824	365260	G18NG-9901-MONOMER
G18NG-12430	Cgl2813	2999476	3000201	G18NG-12430-MONOMER
G18NG-10865	Cgl1292	1360165	1361295	G18NG-10865-MONOMER
G18NG-10189	Cgl0627	639624	640211	G18NG-10189-MONOMER
G18NG-11881	Cgl2284	2417220	2417948	G18NG-11881-MONOMER
G18NG-11536	Cgl1944	2052681	2053586	G18NG-11536-MONOMER
G18NG-9880	Cgl0323	338793	339728	G18NG-9880-MONOMER
G18NG-12398	Cgl2781	2966456	2967805	G18NG-12398-MONOMER
G18NG-10844	Cgl1271	1338131	1340011	G18NG-10844-MONOMER
G18NG-10165	Cgl0603	615336	616856	G18NG-10165-MONOMER
G18NG-11848	Cgl2254	2386612	2387628	G18NG-11848-MONOMER
G18NG-11513	Cgl1921	2022959	2023948	G18NG-11513-MONOMER
G18NG-9855	Cgl0299	313622	314590	G18NG-9855-MONOMER
G18NG-12375	Cgl2758	2942607	2943008	G18NG-12375-MONOMER
G18NG-10826	Cgl1253	1319005	1319979	G18NG-10826-MONOMER
G18NG-10138	Cgl0576	587642	589015	G18NG-10138-MONOMER
G18NG-11817	Cgl2225	2357727	2358134	G18NG-11817-MONOMER
G18NG-11493	Cgl1901	2002072	2003337	G18NG-11493-MONOMER
G18NG-9838	Cgl0282	297792	298253	G18NG-9838-MONOMER
G18NG-12356	Cgl2738	2919716	2920297	G18NG-12356-MONOMER
