ID,Annotation,Gene_name,Genome_ACC,ORF,Start,Stop,Strand
cg0001,chromosomal replication initiation protein,dnaA,BX927147,cg0001,1.0,1575.0,+
cg0002,hypothetical protein,0,BX927147,cg0002,1594.0,1920.0,-
cg0004,DNA polymerase III subunit ? (EC:2.7.7.7),dnaN,BX927147,cg0004,2292.0,3476.0,+
cg0005,recombination protein RecF,recF,BX927147,cg0005,3585.0,4769.0,+
cg0006,"hypothetical protein, conserved",0,BX927147,cg0006,4766.0,5302.0,+
cg0007,"DNA topoisomerase/gyrase IV, subunit B (EC:5.99.1.3)",gyrB,BX927147,cg0007,5435.0,7489.0,+
cg0008,putative esterase/lipase,0,BX927147,cg0008,7923.0,8798.0,+
cg0009,putative membrane protein,0,BX927147,cg0009,8795.0,9466.0,-
cg0010,"hypothetical protein, conserved",0,BX927147,cg0010,9471.0,9914.0,-
cg0012,"sulphonate sulphur utilization transcriptional regulator SsuR,  activator of sulfonateester utilization, ROK-family, loss causes inability to utilize alkylsulfonates",ssuR,BX927147,cg0012,10104.0,11171.0,-
cg0013,"putative transcriptional regulator, TetR-family",0,BX927147,cg0013,11260.0,11523.0,-
cg0014,"putative helix-turn-helix protein, CopG-family",0,BX927147,cg0014,11520.0,11768.0,-
cg0015,"gyrA, DNA gyrase subunit A (EC:5.99.1.3)",gyrA,BX927147,cg0015,11831.0,14401.0,+
cg0016,putative integral membrane protein,0,BX927147,cg0016,14405.0,14749.0,+
cg0018,"putative membrane protein, conserved",0,BX927147,cg0018,15206.0,16243.0,-
cg0019,"putative transcriptional regulator, LysR-family",0,BX927147,cg0019,16314.0,17210.0,+
cg0021,hypothetical protein,0,BX927147,cg0021,17251.0,17673.0,+
cg0025,putative integral membrane cytochrome biogenesis protein,ccdA2,BX927147,cg0025,17857.0,18729.0,-
cg0026,"putative HCCA/protein isomerase, secreted protein, involved in cytochrome c maturation",0,BX927147,cg0026,18733.0,19479.0,-
cg0027,"putative transcriptional regulator, MarR-family",0,BX927147,cg0027,19705.0,20076.0,+
cg0029,putative protease with chaperone function,0,BX927147,cg0029,20073.0,21068.0,+
cg0031,"putative reductase, related to diketogulonate reductase",0,BX927147,cg0031,21071.0,21247.0,-
cg0033,putative secreted protein,0,BX927147,cg0033,21426.0,21527.0,+
cg0034,"putative 5-nucleotidase, putative pseudogene",0,BX927147,cg0034,21597.0,22127.0,+
cg0035,"putative 5-nucleotidase, putative pseudogene",0,BX927147,cg0035,22164.0,23402.0,+
cg0037,"transposase, putative pseudogene",tnp22a,BX927147,cg0037,23612.0,23779.0,-
cg0038,putative organic hydroperoxide resistance/detoxification protein,ohr,BX927147,cg0038,24295.0,24732.0,+
cg0039,putative transcriptional regulator,0,BX927147,cg0039,24882.0,26573.0,-
cg0040,"putative secreted protein, involved in zinc metabolism",0,BX927147,cg0040,26819.0,28099.0,-
cg0041,"ABC-type Mn/Zn import system Znu2, substrate-binding lipoprotein",znuA2,BX927147,cg0041,28161.0,29117.0,-
cg0042,"ABC-type Mn/Zn import system Znu2, permease component",znuB2,BX927147,cg0042,29114.0,29965.0,-
cg0043,"ABC-type Mn/Zn import system Znu2, ATP-binding protein ",znuC2,BX927147,cg0043,29995.0,30654.0,+
cg0044,putative periplasmic D-ribose-binding protein,rbsB,BX927147,cg0044,30697.0,31680.0,+
cg0045,"putative ABC transport protein, sugar transport, membrane component",0,BX927147,cg0045,31677.0,32702.0,+
cg0046,"putative ABC transport protein, ATP-binding component",0,BX927147,cg0046,32699.0,33460.0,+
cg0047,"hypothetical protein, conserved",0,BX927147,cg0047,33462.0,34274.0,-
cg0048,"peptidyl-prolyl cis-trans isomerase, cytosolic (EC:5.2.1.8)",ppiA,BX927147,cg0048,34378.0,34902.0,+
cg0049,"putative transmembrane protein, rhomboid-family",0,BX927147,cg0049,34982.0,35671.0,+
cg0051,"putative transcriptional regulator, AraC-type",0,BX927147,cg0051,36244.0,37242.0,-
cg0052,"putative iron-siderophore ABC transporter, permease protein",0,BX927147,cg0052,37275.0,38201.0,+
cg0053,"putative iron-siderophore ABC transporter, ATP-binding protein",0,BX927147,cg0053,38202.0,38981.0,+
cg0054,putative iron-chelator utilization protein,0,BX927147,cg0054,38978.0,39802.0,+
cg0055,"putative cell division membrane protein, ortholog of Rv0011c, member of the cell division complex in Mycobacteria",crgA,BX927147,cg0055,40186.0,40458.0,-
cg0057,"Eukaryotic-type serine/threonine kinase (EC:2.7.11.1), growth defect in combination with ?cg2388 ",pknB,BX927147,cg0057,40573.0,42513.0,-
cg0059,"serine/threonine protein kinase (EC:2.7.11.1), growth defect in combination with ?cg2388",pknA,BX927147,cg0059,42510.0,43919.0,-
cg0060,D-alanyl-D-alanine carboxypeptidase (EC:3.4.16.4),pbp2b (pbpA),BX927147,cg0060,43923.0,45347.0,-
cg0061,putative FTSW/RODA/SPOVE-family cell cycle protein,rodA,BX927147,cg0061,45344.0,46669.0,-
cg0062,protein phosphatase (EC:3.1.3.16),ppp,BX927147,cg0062,46666.0,48021.0,-
cg0063,"membrane protein with N-terminal transmembrane helix, FHA domain ",fhaB,BX927147,cg0063,48021.0,48485.0,-
cg0064,cytoplasmic protein with FHA and DUF domain,fhaA,BX927147,cg0064,48502.0,49398.0,-
cg0065,putative protein of haem peroxidase superfamily,0,BX927147,cg0065,49894.0,50616.0,-
cg0066,hypothetical protein,0,BX927147,cg0066,50963.0,51385.0,-
cg0067,succinate-semialdehyde dehydrogenase NADP+ (EC:1.2.1.16),gabD3,BX927147,cg0067,51623.0,53095.0,-
cg0070,"Putative C-terminal end of phenol hydroxylase, PhoX-family, putative pseudogene",0,BX927147,cg0070,53283.0,54011.0,+
cg0071,"putative protein of metallo-?-lactamase superfamily, RHOD domain",0,BX927147,cg0071,54179.0,55549.0,+
cg0072,"putative membrane protein, conserved",0,BX927147,cg0072,55626.0,56372.0,-
cg0073,"putative sulfurtransferase, RHOD domain-containing protein",0,BX927147,cg0073,56383.0,56676.0,-
cg0074,"putative sulfurtransferase, RHOD domain-containing protein",0,BX927147,cg0074,56677.0,57270.0,-
cg0075,"hypothetical protein, conserved",0,BX927147,cg0075,57397.0,57654.0,+
cg0076,hypothetical protein,0,BX927147,cg0076,58087.0,58944.0,+
cg0077,"hypothetical protein, VTC domain, conserved",0,BX927147,cg0077,59103.0,59933.0,+
cg0078,putative membrane protein,0,BX927147,cg0078,59952.0,60665.0,+
cg0079,"putative secreted protein, CotH homolog",0,BX927147,cg0079,60699.0,62324.0,+
cg0080,"putative CorA-like Mg2+/Co2+ transporter protein, MIT-family",0,BX927147,cg0080,62387.0,63508.0,-
cg0081,putative 4-oxalocrotonate tautomerase,0,BX927147,cg0081,63591.0,64040.0,-
cg0082,"putative voltage gated chloride channel, CIC-family",0,BX927147,cg0082,64172.0,65461.0,+
cg0083,"putative nicotinamide mononucleotide uptake permease, nicotinamide mononucleotide NMN uptake permease, PnuC-family",0,BX927147,cg0083,65505.0,66197.0,-
cg0085,"ATPase of PhoH-family related to phosphate starvation-inducible protein, NYN ribonuclease",phoH1,BX927147,cg0085,66699.0,67976.0,+
cg0087,putative transmembrane transport protein,0,BX927147,cg0087,68249.0,68635.0,-
cg0088,"citrate transporter, CitMHS-family","citH (citP, citM)",BX927147,cg0088,68718.0,70298.0,-
cg0089,"two component sensor kinase, citrate homeostasis",citA,BX927147,cg0089,70507.0,72162.0,+
cg0090,"two component response regulator, activates citrate uptake in the presence of external citrate",citB,BX927147,cg0090,72162.0,72818.0,+
cg0091,putative D-isomer specific 2-hydroxyacid dehydrogenase,0,BX927147,cg0091,72815.0,73729.0,-
cg0092,putative membrane protein,0,BX927147,cg0092,73845.0,74276.0,+
