locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
cg0001,dnaA,BX927147.1,,1.0,1575.0,+,CHROMOSOMAL REPLICATION INITIATOR PROTEIN,"Replication, recombination and repair",Q8NUD8,Op0
cg0002,cg0002,BX927147.1,,1594.0,1920.0,-,hypothetical protein predicted by Glimmer,No COG annotation,,Op1
cg0004,dnaN,BX927147.1,,2292.0,3476.0,+,DNA POLYMERASE III%2C BETA SUBUNIT,"Replication, recombination and repair",,Op0
cg0005,recF,BX927147.1,,3585.0,4769.0,+,DNA REPAIR AND GENETIC RECOMBINATION PROTEIN,"Replication, recombination and repair",Q6M8X7,Op2
cg0006,cg0006,BX927147.1,,4814.0,5302.0,+,CONSERVED HYPOTHETICAL PROTEIN,Function unknown,Q8NUD4,Op2
cg0007,gyrB,BX927147.1,,5435.0,7489.0,+,DNA GYRASE SUBUNIT B,"Replication, recombination and repair",,Op3
cg0008,cg0008,BX927147.1,,7830.0,8798.0,+,HYPOTHETICAL PROTEIN,Function unknown,,Op4
cg0009,cg0009,BX927147.1,,8795.0,9466.0,-,UNCHARACTERIZED MEMBRANE PROTEIN,Function unknown,,Op5
cg0010,cg0010,BX927147.1,,9471.0,9914.0,-,conserved hypothetical protein,No COG annotation,,Op6
cg0012,cg0012,BX927147.1,,10104.0,11177.0,-,PUTATIVE TRANSCRIPTION REGULATOR PROTEIN,Transcription,,Op7
cg0013,cg0013,BX927147.1,,11260.0,11523.0,-,Bacterial regulatory proteins%2C tetR family,No COG annotation,,Op8
cg0014,cg0014,BX927147.1,,11520.0,11768.0,-,Helix-turn-helix protein%2C copG family,No COG annotation,,Op8
cg0015,gyrA,BX927147.1,,11831.0,14401.0,+,DNA TOPOISOMERASE (ATP-HYDROLYSING),"Replication, recombination and repair",,Op9
cg0016,cg0016,BX927147.1,,14405.0,14749.0,+,PUTATIVE INTEGRAL MEMBRANE PROTEIN,Function unknown,,Op9
cg0018,cg0018,BX927147.1,,15206.0,16243.0,-,HYPOTHETICAL MEMBRANE PROTEIN,Inorganic ion transport and metabolism,Q6M8W7,Op10
cg0019,cg0019,BX927147.1,,16314.0,17210.0,+,Bacterial regulatory protein%2C LysR family,Transcription,,Op11
cg0021,cg0021,BX927147.1,,17251.0,17673.0,+,hypothetical protein predicted by Glimmer/Critica,No COG annotation,,Op12
cg0025,cg0025,BX927147.1,,17857.0,18729.0,-,PUTATIVE INTEGRAL MEMBRANE CYTOCHROME BIOGENESIS PROTEIN,"Post-translational modification, protein turnover, and chaperones",,Op13
cg0026,cg0026,BX927147.1,,18733.0,19479.0,-,HCCA ISOMERASE%2C secreted protein,"Post-translational modification, protein turnover, and chaperones",,Op13
cg0027,cg0027,BX927147.1,,19705.0,20076.0,+,Regulatory protein%2C MarR family,Transcription,,Op14
cg0029,cg0029,BX927147.1,,20199.0,21068.0,+,protease with chaperone function,"Post-translational modification, protein turnover, and chaperones",,Op14
cg0031,cg0031,BX927147.1,,21071.0,21247.0,-,reductase related to diketogulonate reductase,Function unknown,,Op15
cg0033,cg0033,BX927147.1,,21426.0,21527.0,+,putative secreted protein,No COG annotation,,Op16
cg0034,cg0034,BX927147.1,,21597.0,22127.0,+,5'-NUCLEOTIDASE (putative pseudogene),Nucleotide transport and metabolism,,Op17
cg0035,cg0035,BX927147.1,,22164.0,23402.0,+,5'-NUCLEOTIDASE (putative pseudogene),Nucleotide transport and metabolism,,Op17
cg0037,tnp22a(ISCg22a),BX927147.1,,23612.0,23779.0,-,transposase-fragment,"Replication, recombination and repair",,Op18
cg0038,cg0038,BX927147.1,,24214.0,24732.0,+,ORGANIC HYDROPEROXIDE RESISTANCE PROTEIN,"Post-translational modification, protein turnover, and chaperones",,Op19
cg0039,cg0039,BX927147.1,,24882.0,26573.0,-,putative transcriptional regulator,Transcription,,Op20
cg0040,cg0040,BX927147.1,,26819.0,28099.0,-,PUTATIVE SECRETED PROTEIN,Function unknown,,Op21
cg0041,cg0041,BX927147.1,,28161.0,29117.0,-,PUTATIVE SOLUTE-BINDING LIPOPROTEIN%2C signal peptid,Inorganic ion transport and metabolism,,Op21
