Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Genes in same transcription unit	Accession-2
CGTRNA_RS15190	CGTRNA_RS15190	3240019	3244404	lamin tail domain-containing protein	CGTRNA_RS15190	cg3393
infB	CGTRNA_RS09720	2063759	2066773	translation initiation factor IF-2	infB	cg2176
crtI	CGTRNA_RS11945	2544024	2545519	phytoene desaturase	CGTRNA_RS11950 // crtI	cg2670
CGTRNA_RS09600	CGTRNA_RS09600	2038602	2039432	PspA/IM30 family protein	CGTRNA_RS09600	cg2151
CGTRNA_RS15195	CGTRNA_RS15195	3244772	3245788	hypothetical protein	CGTRNA_RS15195	cg3394
CGTRNA_RS05720	CGTRNA_RS05720	1195335	1195661	hypothetical protein	CGTRNA_RS05725 // CGTRNA_RS05720	cg1293
CGTRNA_RS03320	CGTRNA_RS03320	678517	679221	hypothetical protein	CGTRNA_RS03320	cg0765
CGTRNA_RS07240	CGTRNA_RS07240	1522424	1523059	bifunctional nuclease family protein	CGTRNA_RS07240 // CGTRNA_RS07235	cg1632
CGTRNA_RS11950	CGTRNA_RS11950	2545516	2546379	phytoene/squalene synthase family protein	CGTRNA_RS11950 // crtI	cg2672
glgA	CGTRNA_RS05590	1163844	1165016	glycogen synthase	glgA	cg1268
CGTRNA_RS05890	CGTRNA_RS05890	1237864	1237936	tRNA-Arg	CGTRNA_RS05890	tRNA_3552
CGTRNA_RS03910	CGTRNA_RS03910	825663	826715	PDZ domain-containing protein	CGTRNA_RS03910	cg0893
CGTRNA_RS15200	CGTRNA_RS15200	3245868	3247382	MFS transporter	CGTRNA_RS15200	cg3395
CGTRNA_RS09025	CGTRNA_RS09025	1918416	1918640	DUF2188 domain-containing protein	CGTRNA_RS09025	cg2026
CGTRNA_RS11955	CGTRNA_RS11955	2546453	2547574	MFS transporter	CGTRNA_RS11955	cg2673
CGTRNA_RS08815	CGTRNA_RS08815	1862224	1862700	hypothetical protein	CGTRNA_RS08815 // CGTRNA_RS08810 // CGTRNA_RS08805	cg1983
iolD	CGTRNA_RS00855	173366	175279	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)	CGTRNA_RS00870 // CGTRNA_RS00865 // CGTRNA_RS00860 // iolD // iolB // CGTRNA_RS00845 // CGTRNA_RS00840 // iolC	cg0202
rfbA	CGTRNA_RS01740	348096	348953	glucose-1-phosphate thymidylyltransferase RfbA	CGTRNA_RS01755 // rfbB // CGTRNA_RS01745 // rfbA	cg0401
CGTRNA_RS11960	CGTRNA_RS11960	2547654	2548889	alkylhydroperoxidase domain protein	CGTRNA_RS11980 // CGTRNA_RS11975 // CGTRNA_RS11970 // CGTRNA_RS11965 // CGTRNA_RS11960	cg2674
CGTRNA_RS00175	CGTRNA_RS00175	31677	32702	ABC transporter permease	CGTRNA_RS00180 // CGTRNA_RS00175 // CGTRNA_RS00170	cg0045
CGTRNA_RS07540	CGTRNA_RS07540	1587067	1587912	ATP phosphoribosyltransferase	CGTRNA_RS07545 // CGTRNA_RS07540	cg1698
CGTRNA_RS15205	CGTRNA_RS15205	3247793	3248539	slipin family protein	CGTRNA_RS15205	cg3396
CGTRNA_RS11965	CGTRNA_RS11965	2548905	2550548	ABC transporter ATP-binding protein	CGTRNA_RS11980 // CGTRNA_RS11975 // CGTRNA_RS11970 // CGTRNA_RS11965 // CGTRNA_RS11960	cg2675
CGTRNA_RS00600	CGTRNA_RS00600	120949	122460	mannitol dehydrogenase family protein	CGTRNA_RS00600 // CGTRNA_RS00595	cg0143
ribD	CGTRNA_RS08000	1693740	1694726	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	rpe // ribD // CGTRNA_RS07995 // CGTRNA_RS07990 // CGTRNA_RS07985	cg1800
CGTRNA_RS11970	CGTRNA_RS11970	2550552	2551436	ABC transporter permease	CGTRNA_RS11980 // CGTRNA_RS11975 // CGTRNA_RS11970 // CGTRNA_RS11965 // CGTRNA_RS11960	cg2676
glgC	CGTRNA_RS05595	1165158	1166387	glucose-1-phosphate adenylyltransferase	glgC	cg1269
CGTRNA_RS07480	CGTRNA_RS07480	1572970	1573953	YafY family transcriptional regulator	CGTRNA_RS07495 // pafA // CGTRNA_RS07485 // CGTRNA_RS07480	cg1686
CGTRNA_RS01470	CGTRNA_RS01470	293539	293994	GatB/YqeY domain-containing protein	CGTRNA_RS01470	cg0335
CGTRNA_RS00145	CGTRNA_RS00145	24882	26573	putative DNA binding domain-containing protein	CGTRNA_RS00145	cg0039
CGTRNA_RS15210	CGTRNA_RS15210	3248907	3249878	GIY-YIG nuclease family protein	CGTRNA_RS15210	cg3397
CGTRNA_RS08325	CGTRNA_RS08325	1766484	1767332	acyl-CoA thioesterase II	CGTRNA_RS08325	cg1873
CGTRNA_RS11975	CGTRNA_RS11975	2551442	2552383	ABC transporter permease	CGTRNA_RS11980 // CGTRNA_RS11975 // CGTRNA_RS11970 // CGTRNA_RS11965 // CGTRNA_RS11960	cg2677
CGTRNA_RS09725	CGTRNA_RS09725	2066891	2067229	YlxR family protein	CGTRNA_RS09725	cg2177
CGTRNA_RS11980	CGTRNA_RS11980	2552384	2554093	TIGR04028 family ABC transporter substrate-binding protein	CGTRNA_RS11980 // CGTRNA_RS11975 // CGTRNA_RS11970 // CGTRNA_RS11965 // CGTRNA_RS11960	cg2678
CGTRNA_RS09270	CGTRNA_RS09270	1967216	1967554	hypothetical protein	CGTRNA_RS09275 // CGTRNA_RS09270	cg2075
ppc	CGTRNA_RS07940	1678851	1681610	phosphoenolpyruvate carboxylase	ppc	cg1787
CGTRNA_RS00700	CGTRNA_RS00700	143576	144643	hypothetical protein	CGTRNA_RS00700	cg0166
CGTRNA_RS15215	CGTRNA_RS15215	3249976	3254907	DEAD/DEAH box helicase	CGTRNA_RS15215	cg3398
CGTRNA_RS11985	CGTRNA_RS11985	2554240	2556183	FAD/NAD(P)-binding protein	CGTRNA_RS11985	cg2679
CGTRNA_RS03325	CGTRNA_RS03325	679301	681517	NADP-dependent isocitrate dehydrogenase	CGTRNA_RS03325	cg0766
CGTRNA_RS00670	CGTRNA_RS00670	135516	136034	hypothetical protein	CGTRNA_RS00670 // CGTRNA_RS00665 // CGTRNA_RS00675	cg0159
CGTRNA_RS15220	CGTRNA_RS15220	3254971	3255480	DUF4395 domain-containing protein	CGTRNA_RS15220	cg3399
CGTRNA_RS11990	CGTRNA_RS11990	2556235	2557605	aspartate aminotransferase family protein	CGTRNA_RS11990	cg2680
CGTRNA_RS05600	CGTRNA_RS05600	1166439	1167080	O-methyltransferase	CGTRNA_RS05600	cg1270
CGTRNA_RS03915	CGTRNA_RS03915	826712	827131	hypothetical protein	CGTRNA_RS03915	
CGTRNA_RS06310	CGTRNA_RS06310	1329712	1330422	amino acid transporter	CGTRNA_RS06310	cg1424
CGTRNA_RS11995	CGTRNA_RS11995	2557889	2559442	HNH endonuclease	CGTRNA_RS11995	cg2683
CGTRNA_RS15225	CGTRNA_RS15225	3255652	3256254	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	CGTRNA_RS15225	cg3400
CGTRNA_RS01305	CGTRNA_RS01305	262544	263296	type 1 glutamine amidotransferase	CGTRNA_RS01315 // CGTRNA_RS01310 // CGTRNA_RS01305	cg0299
CGTRNA_RS15560	CGTRNA_RS15560	955186	956378	IS3 family transposase	CGTRNA_RS04525 // CGTRNA_RS15560	
CGTRNA_RS01575	CGTRNA_RS01575	313622	314464	HAD family hydrolase	CGTRNA_RS01575	cg0360
CGTRNA_RS02320	CGTRNA_RS02320	478088	478972	LysR family transcriptional regulator	CGTRNA_RS02325 // CGTRNA_RS02320	cg0537
CGTRNA_RS01945	CGTRNA_RS01945	397229	398206	winged helix DNA-binding domain-containing protein	CGTRNA_RS01945	cg0450
CGTRNA_RS15230	CGTRNA_RS15230	3256488	3256694	heavy-metal-associated domain-containing protein	CGTRNA_RS15230	cg3402
CGTRNA_RS00470	CGTRNA_RS00470	91175	91477	urease subunit gamma	CGTRNA_RS00500 // ureG // CGTRNA_RS00490 // ureE // ureC // CGTRNA_RS00475 // CGTRNA_RS00470	cg0113
CGTRNA_RS12000	CGTRNA_RS12000	2559652	2560401	DedA family protein	CGTRNA_RS12000	cg2684
CGTRNA_RS00440	CGTRNA_RS00440	85661	86221	hypothetical protein	CGTRNA_RS00440	cg0107
sigE	CGTRNA_RS05605	1167214	1167855	RNA polymerase sigma factor SigE	sigE	cg1271
dnaA	CGTRNA_RS00005	1	1575	chromosomal replication initiator protein DnaA	dnaN // dnaA	cg0001
CGTRNA_RS12005	CGTRNA_RS12005	2560398	2561108	SDR family oxidoreductase	CGTRNA_RS12005	cg2685
ramB	CGTRNA_RS01915	390784	392208	acetate metabolism transcriptional regulator RamB	ramB	cg0444
nusA	CGTRNA_RS09730	2067427	2068425	transcription termination/antitermination protein NusA	rimP // nusA	cg2178
CGTRNA_RS15235	CGTRNA_RS15235	3256778	3257533	MFS transporter	CGTRNA_RS15235	cg3403
CGTRNA_RS08965	CGTRNA_RS08965	1903474	1904355	hypothetical protein	CGTRNA_RS08965	cg2014
CGTRNA_RS12010	CGTRNA_RS12010	2561241	2561981	TetR/AcrR family transcriptional regulator	CGTRNA_RS12010	cg2686
CGTRNA_RS05725	CGTRNA_RS05725	1195684	1196580	patatin-like phospholipase family protein	CGTRNA_RS05725 // CGTRNA_RS05720	cg1294
CGTRNA_RS03330	CGTRNA_RS03330	681601	682500	siderophore-interacting protein	CGTRNA_RS03350 // CGTRNA_RS03345 // CGTRNA_RS03340 // CGTRNA_RS03335 // CGTRNA_RS03330	cg0767
CGTRNA_RS00125	CGTRNA_RS00125	23500	23572	tRNA-Ala	CGTRNA_RS00125	tRNA_3530
CGTRNA_RS07245	CGTRNA_RS07245	1523238	1523813	MerR family transcriptional regulator	CGTRNA_RS07245	cg1633
CGTRNA_RS15240	CGTRNA_RS15240	3257704	3258732	iron-siderophore ABC transporter substrate-binding protein	CGTRNA_RS15240	cg3404
CGTRNA_RS05610	CGTRNA_RS05610	1168044	1168538	hypothetical protein	tatB // CGTRNA_RS05610	cg1272
CGTRNA_RS03920	CGTRNA_RS03920	827466	827990	hypothetical protein	CGTRNA_RS03920	cg0895
CGTRNA_RS12015	CGTRNA_RS12015	2561985	2563145	cystathionine gamma-synthase	CGTRNA_RS12015	cg2687
CGTRNA_RS00860	CGTRNA_RS00860	175320	176276	TIM barrel protein	CGTRNA_RS00870 // CGTRNA_RS00865 // CGTRNA_RS00860 // iolD // iolB // CGTRNA_RS00845 // CGTRNA_RS00840 // iolC	cg0203
CGTRNA_RS12185	CGTRNA_RS12185	2594485	2594557	tRNA-Lys	CGTRNA_RS12185 // CGTRNA_RS12180	tRNA_3578
CGTRNA_RS01790	CGTRNA_RS01790	360812	361906	FUSC family protein	CGTRNA_RS01790	cg0412
CGTRNA_RS15245	CGTRNA_RS15245	3258910	3259887	zinc-binding dehydrogenase	CGTRNA_RS15245	cg3405
CGTRNA_RS07695	CGTRNA_RS07695	1621136	1621564	NfeD family protein	CGTRNA_RS07695	cg1731
CGTRNA_RS01775	CGTRNA_RS01775	355847	357229	M1 family metallopeptidase	CGTRNA_RS01780 // CGTRNA_RS01775 // CGTRNA_RS01770	cg0409
CGTRNA_RS12020	CGTRNA_RS12020	2563247	2563978	ATP-binding cassette domain-containing protein	CGTRNA_RS12020	cg2688
rimP	CGTRNA_RS09735	2068459	2068995	ribosome maturation factor RimP	rimP // nusA	cg2179
CGTRNA_RS15250	CGTRNA_RS15250	3259930	3260316	DUF1304 family protein	CGTRNA_RS15250	cg3407
CGTRNA_RS08500	CGTRNA_RS08500	1797682	1798524	hypothetical protein	CGTRNA_RS08500 // CGTRNA_RS08495 // CGTRNA_RS08490 // CGTRNA_RS08485	cg1908
tatB	CGTRNA_RS05615	1168578	1169048	Sec-independent protein translocase subunit TatB	tatB // CGTRNA_RS05610	cg1273
CGTRNA_RS12025	CGTRNA_RS12025	2564078	2564473	globin	chrA // CGTRNA_RS12025	cg2689
CGTRNA_RS08465	CGTRNA_RS08465	1791305	1791532	hypothetical protein	CGTRNA_RS08465	cg1900
CGTRNA_RS15255	CGTRNA_RS15255	3260384	3260590	hypothetical protein	CGTRNA_RS15255	
argH	CGTRNA_RS07015	1472944	1474377	argininosuccinate lyase	argH // CGTRNA_RS07010	cg1588
CGTRNA_RS09275	CGTRNA_RS09275	1967593	1968291	pyrimidine reductase family protein	CGTRNA_RS09275 // CGTRNA_RS09270	cg2076
chrA	CGTRNA_RS12030	2564514	2565644	chromate efflux transporter	chrA // CGTRNA_RS12025	cg2690
CGTRNA_RS02195	CGTRNA_RS02195	452636	454432	bifunctional uroporphyrinogen-III C-methyltransferase/uroporphyrinogen-III synthase	CGTRNA_RS02215 // CGTRNA_RS02210 // hemB // CGTRNA_RS02200 // CGTRNA_RS02195	cg0510
CGTRNA_RS03335	CGTRNA_RS03335	682510	683319	ABC transporter ATP-binding protein	CGTRNA_RS03350 // CGTRNA_RS03345 // CGTRNA_RS03340 // CGTRNA_RS03335 // CGTRNA_RS03330	cg0768
